,chr,left,right,size
48187,chr7,73390500,73504500,114000
48188,chr7,73389500,73663500,274000
48195,chr7,68317500,68472500,155000
48207,chr7,65920500,66312500,392000
48212,chr7,66038500,66337500,299000
48215,chr7,66084500,66165500,81000
48218,chr7,66143500,66309500,166000
48226,chr7,66440500,66488500,48000
48246,chr7,66872500,67022500,150000
48263,chr7,67022500,67280500,258000
48273,chr7,67439500,67611500,172000
48276,chr7,67440500,67734500,294000
48279,chr7,67508500,67546500,38000
48291,chr7,77497500,77540500,43000
48339,chr7,78433500,78496500,63000
48358,chr7,78922500,79041500,119000
48359,chr7,78922500,79116500,194000
48360,chr7,79021500,79244500,223000
48361,chr7,79022500,79060500,38000
48369,chr7,79144500,79226500,82000
48370,chr7,79144500,79297500,153000
48379,chr7,79196500,79378500,182000
48381,chr7,79262500,79329500,67000
48382,chr7,79263500,79316500,53000
48384,chr7,79329500,79377500,48000
48386,chr7,79396500,79609500,213000
48387,chr7,79431500,79610500,179000
48390,chr7,79448500,79611500,163000
48391,chr7,79664500,79838500,174000
48397,chr7,79679500,79732500,53000
48399,chr7,79779500,79837500,58000
48403,chr7,79790500,79865500,75000
48404,chr7,79790500,79930500,140000
48409,chr7,79882500,79944500,62000
48416,chr7,80014500,80359500,345000
48418,chr7,80035500,80123500,88000
48424,chr7,80062500,80359500,297000
48425,chr7,80084500,80358500,274000
48439,chr7,80506500,80738500,232000
48442,chr7,80536500,80673500,137000
48448,chr7,80597500,80643500,46000
48449,chr7,80643500,80710500,67000
48459,chr7,80994500,81129500,135000
48460,chr7,81015500,81070500,55000
48465,chr7,81049500,81169500,120000
48469,chr7,81104500,81143500,39000
48470,chr7,81104500,81356500,252000
48481,chr7,81231500,81426500,195000
48492,chr7,81518500,81603500,85000
48524,chr7,89282500,89490500,208000
48530,chr7,89621500,89799500,178000
48531,chr7,89647500,89779500,132000
48532,chr7,89647500,89817500,170000
48533,chr7,89648500,89684500,36000
48534,chr7,83923500,84006500,83000
48568,chr7,82884500,82964500,80000
48578,chr7,83317500,83451500,134000
48591,chr7,83800500,83921500,121000
48600,chr7,92295500,92387500,92000
48604,chr7,92319500,92390500,71000
48626,chr7,95800500,96049500,249000
48630,chr7,96601500,96730500,129000
48636,chr7,97021500,97229500,208000
48637,chr7,97049500,97229500,180000
48639,chr7,97074500,97282500,208000
48640,chr7,97076500,97366500,290000
48644,chr7,97145500,97317500,172000
48654,chr7,97426500,97576500,150000
48655,chr7,97437500,97492500,55000
48660,chr7,97634500,97735500,101000
48662,chr7,97721500,97841500,120000
48664,chr7,97776500,97890500,114000
48669,chr7,97889500,97937500,48000
48694,chr7,97959500,98009500,50000
48696,chr7,98087500,98239500,152000
48699,chr7,98130500,98318500,188000
48700,chr7,98131500,98428500,297000
48714,chr7,98392500,98428500,36000
48721,chr7,98612500,98677500,65000
48722,chr7,98757500,98898500,141000
48724,chr7,98801500,98898500,97000
48726,chr7,98915500,99118500,203000
48727,chr7,98917500,99002500,85000
48728,chr7,98917500,99030500,113000
48737,chr7,99267500,99400500,133000
48738,chr7,99275500,99476500,201000
48754,chr7,101899500,102091500,192000
48789,chr7,100079500,100141500,62000
48791,chr7,100143500,100257500,114000
48793,chr7,100144500,100184500,40000
48799,chr7,100187500,100231500,44000
48806,chr7,100356500,100512500,156000
48809,chr7,100512500,100580500,68000
48820,chr7,100580500,100970500,390000
48823,chr7,100592500,100757500,165000
48824,chr7,100592500,100880500,288000
48826,chr7,100592500,101062500,470000
48831,chr7,100636500,101022500,386000
48833,chr7,100662500,100958500,296000
48837,chr7,100711500,101165500,454000
48840,chr7,100761500,100880500,119000
48841,chr7,100795500,100905500,110000
48842,chr7,100960500,101150500,190000
48844,chr7,101076500,101300500,224000
48845,chr7,101077500,101152500,75000
48846,chr7,101077500,101269500,192000
48851,chr7,101316500,101448500,132000
48852,chr7,101329500,101481500,152000
48853,chr7,101470500,101517500,47000
48861,chr7,101567500,101727500,160000
48863,chr7,101585500,101619500,34000
48864,chr7,101647500,101727500,80000
48867,chr7,101860500,101899500,39000
48868,chr7,101859500,101916500,57000
48872,chr7,101909500,101976500,67000
48879,chr7,106506500,106565500,59000
48885,chr7,107194500,107357500,163000
48908,chr7,108275500,108322500,47000
48914,chr7,108543500,108627500,84000
48927,chr7,108841500,109023500,182000
48930,chr7,109127500,109491500,364000
48932,chr7,109252500,109300500,48000
48933,chr7,109303500,109380500,77000
48934,chr7,109304500,109465500,161000
48935,chr7,109305500,109546500,241000
48950,chr7,109651500,109736500,85000
48951,chr7,109668500,109761500,93000
48952,chr7,109711500,109761500,50000
48958,chr7,109886500,110144500,258000
48965,chr7,109916500,110302500,386000
48974,chr7,110147500,110244500,97000
48978,chr7,110443500,110545500,102000
49017,chr7,111814500,111968500,154000
49025,chr7,111999500,112244500,245000
49037,chr7,112069500,112274500,205000
49038,chr7,112069500,112292500,223000
49041,chr7,112244500,112411500,167000
49047,chr7,112279500,112453500,174000
49048,chr7,112289500,112441500,152000
49063,chr7,112742500,112895500,153000
49065,chr7,112743500,112807500,64000
49066,chr7,112765500,112848500,83000
49067,chr7,112806500,112859500,53000
49073,chr7,112999500,113166500,167000
49080,chr7,113252500,113305500,53000
49085,chr7,113454500,113619500,165000
49095,chr7,116042500,116103500,61000
49096,chr7,116044500,116207500,163000
49112,chr7,117504500,117634500,130000
49124,chr7,117728500,117841500,113000
49130,chr7,117788500,117831500,43000
49140,chr7,114039500,114106500,67000
49142,chr7,114272500,114416500,144000
49155,chr7,117950500,118007500,57000
49157,chr7,118047500,118089500,42000
49158,chr7,118090500,118193500,103000
49159,chr7,118132500,118192500,60000
49161,chr7,118312500,118455500,143000
49235,chr7,120233500,120353500,120000
49238,chr7,120289500,120353500,64000
49246,chr7,120534500,120687500,153000
49265,chr7,120750500,121183500,433000
49267,chr7,120760500,120979500,219000
49274,chr7,120857500,121054500,197000
49275,chr7,120858500,120990500,132000
49283,chr7,120991500,121140500,149000
49285,chr7,121332500,121545500,213000
49286,chr7,121333500,121512500,179000
49287,chr7,121333500,121541500,208000
49290,chr7,121619500,121732500,113000
49291,chr7,121619500,121758500,139000
49311,chr7,124464500,124521500,57000
49317,chr7,125017500,125151500,134000
49319,chr7,125090500,125151500,61000
49322,chr7,125275500,125688500,413000
49325,chr7,125347500,125641500,294000
49327,chr7,125384500,125641500,257000
49328,chr7,125409500,125687500,278000
49329,chr7,125420500,125688500,268000
49331,chr7,125820500,125990500,170000
49332,chr7,125826500,125898500,72000
49411,chr7,122629500,122723500,94000
49412,chr7,122638500,122747500,109000
49414,chr7,122684500,122722500,38000
49418,chr7,122936500,122968500,32000
49432,chr7,125871500,126027500,156000
49433,chr7,125871500,126101500,230000
49437,chr7,125944500,126126500,182000
49441,chr7,126028500,126102500,74000
49442,chr7,126028500,126165500,137000
49446,chr7,126080500,126237500,157000
49457,chr7,126242500,126317500,75000
49482,chr7,126438500,126770500,332000
49486,chr7,126484500,126625500,141000
49501,chr7,126908500,127275500,367000
49509,chr7,126992500,127077500,85000
49536,chr7,127262500,127342500,80000
49538,chr7,127274500,127342500,68000
49542,chr7,127308500,127475500,167000
49543,chr7,127312500,127441500,129000
49546,chr7,127345500,127441500,96000
49548,chr7,127346500,127475500,129000
49552,chr7,127376500,127440500,64000
49554,chr7,127399500,127534500,135000
49557,chr7,127475500,127533500,58000
49558,chr7,127475500,127566500,91000
49562,chr7,127515500,127565500,50000
49573,chr7,127698500,127807500,109000
49580,chr7,127974500,128326500,352000
49586,chr7,127995500,128293500,298000
49587,chr7,128010500,128325500,315000
49606,chr7,128460500,128847500,387000
49614,chr7,128895500,129109500,214000
49615,chr7,128909500,129028500,119000
49656,chr7,136731500,136921500,190000
49662,chr7,137150500,137384500,234000
49668,chr7,130135500,130181500,46000
49670,chr7,130148500,130248500,100000
49675,chr7,130396500,130533500,137000
49676,chr7,130428500,130645500,217000
49678,chr7,130551500,130583500,32000
49680,chr7,130664500,130701500,37000
49685,chr7,130784500,130917500,133000
49697,chr7,131071500,131402500,331000
49707,chr7,131200500,131348500,148000
49708,chr7,131199500,131402500,203000
49715,chr7,131575500,131666500,91000
49731,chr7,134496500,134534500,38000
49738,chr7,134667500,134740500,73000
49752,chr7,135282500,135393500,111000
49758,chr7,135437500,135771500,334000
49760,chr7,135440500,135651500,211000
49764,chr7,135505500,135562500,57000
49765,chr7,135643500,135743500,100000
49777,chr7,131917500,132074500,157000
49778,chr7,131917500,132152500,235000
49779,chr7,131917500,132178500,261000
49781,chr7,132177500,132499500,322000
49782,chr7,132179500,132212500,33000
49783,chr7,132276500,132413500,137000
49784,chr7,132306500,132484500,178000
49785,chr7,132336500,132485500,149000
49787,chr7,132531500,132782500,251000
49794,chr7,132659500,132713500,54000
49799,chr7,132740500,133079500,339000
49809,chr7,132928500,133079500,151000
49817,chr7,133309500,133426500,117000
49845,chr7,133560500,133839500,279000
49847,chr7,133842500,133950500,108000
49860,chr7,138661500,138780500,119000
49861,chr7,138661500,139053500,392000
49874,chr7,139168500,139264500,96000
49875,chr7,139196500,139265500,69000
49876,chr7,139196500,139456500,260000
49878,chr7,139228500,139496500,268000
49879,chr7,139228500,139574500,346000
49882,chr7,139510500,139574500,64000
49894,chr7,141870500,142086500,216000
49897,chr7,141888500,142268500,380000
49898,chr7,141888500,142076500,188000
49901,chr7,141924500,142215500,291000
49902,chr7,141941500,142087500,146000
49903,chr7,141982500,142133500,151000
49906,chr7,142076500,142133500,57000
49907,chr7,142076500,142268500,192000
49908,chr7,142091500,142133500,42000
49909,chr7,142092500,142267500,175000
49910,chr7,142135500,142227500,92000
49911,chr7,142163500,142269500,106000
49913,chr7,142291500,142472500,181000
49917,chr7,142353500,142472500,119000
49920,chr7,142522500,142623500,101000
49921,chr7,142521500,142661500,140000
49922,chr7,142523500,142559500,36000
49923,chr7,142522500,142607500,85000
49924,chr7,142522500,142676500,154000
49936,chr7,142740500,142915500,175000
49938,chr7,142753500,143022500,269000
49943,chr7,142850500,142992500,142000
49944,chr7,142850500,143056500,206000
49945,chr7,143033500,143250500,217000
49951,chr7,143099500,143302500,203000
49964,chr7,143342500,143628500,286000
49966,chr7,143362500,143580500,218000
49969,chr7,143381500,143608500,227000
49971,chr7,143382500,143580500,198000
49977,chr7,143650500,143762500,112000
50001,chr7,139696500,140417500,721000
50111,chr7,140264500,140304500,40000
50112,chr7,140424500,140519500,95000
50116,chr7,140436500,140774500,338000
50121,chr7,140462500,140640500,178000
50126,chr7,140489500,140536500,47000
50129,chr7,140520500,140754500,234000
50146,chr7,140700500,140753500,53000
50147,chr7,140703500,140773500,70000
50150,chr7,140756500,140942500,186000
50153,chr7,140807500,141025500,218000
50156,chr7,140873500,140907500,34000
50157,chr7,140896500,140943500,47000
50164,chr7,141038500,141105500,67000
50167,chr7,141057500,141119500,62000
50187,chr7,141269500,141681500,412000
50199,chr7,141309500,141673500,364000
50201,chr7,141310500,141499500,189000
50202,chr7,141310500,141687500,377000
50205,chr7,141362500,141516500,154000
50212,chr7,141456500,141615500,159000
50214,chr7,141503500,141614500,111000
50216,chr7,141571500,141723500,152000
50221,chr7,141728500,141834500,106000
50244,chr7,144088500,144309500,221000
50251,chr7,144138500,144448500,310000
50253,chr7,144250500,144461500,211000
50254,chr7,144251500,144330500,79000
50256,chr7,144344500,144460500,116000
50283,chr7,144516500,144872500,356000
50286,chr7,144693500,144795500,102000
50287,chr7,144707500,144795500,88000
50288,chr7,144807500,144843500,36000
50295,chr8,3152500,3213500,61000
50307,chr8,3408500,3515500,107000
50339,chr8,4216500,4288500,72000
50340,chr8,4216500,4309500,93000
50387,chr8,6187500,6220500,33000
50394,chr8,8969500,9033500,64000
50396,chr8,9128500,9238500,110000
50425,chr8,10465500,11223500,758000
50450,chr8,11481500,11555500,74000
50451,chr8,11481500,11597500,116000
50452,chr8,11528500,11605500,77000
50453,chr8,11528500,11685500,157000
50456,chr8,11557500,11651500,94000
50460,chr8,11685500,11807500,122000
50462,chr8,11806500,11917500,111000
50463,chr8,11806500,11974500,168000
50464,chr8,11861500,11972500,111000
50470,chr8,13940500,14024500,84000
50479,chr8,14025500,14063500,38000
50513,chr8,14941500,15078500,137000
50563,chr8,12010500,12398500,388000
50574,chr8,12031500,12614500,583000
50594,chr8,12296500,12637500,341000
50597,chr8,12360500,12653500,293000
50601,chr8,12413500,12652500,239000
50616,chr8,12722500,12807500,85000
50620,chr8,12923500,13209500,286000
50623,chr8,12946500,13000500,54000
50624,chr8,12946500,13028500,82000
50625,chr8,12963500,13155500,192000
50626,chr8,13028500,13155500,127000
50640,chr8,13462500,13542500,80000
50648,chr8,13543500,13598500,55000
50657,chr8,13727500,13836500,109000
50661,chr8,13856500,13898500,42000
50678,chr8,18192500,18228500,36000
50681,chr8,18646500,18986500,340000
50682,chr8,18799500,18950500,151000
50683,chr8,18939500,18974500,35000
50702,chr8,22290500,22442500,152000
50714,chr8,22391500,22457500,66000
50723,chr8,22638500,22673500,35000
50726,chr8,22656500,22888500,232000
50732,chr8,22701500,22866500,165000
50736,chr8,22801500,22868500,67000
50739,chr8,22901500,22966500,65000
50740,chr8,22901500,23081500,180000
50742,chr8,22924500,22966500,42000
50754,chr8,23169500,23607500,438000
50757,chr8,23194500,23297500,103000
50759,chr8,23227500,23488500,261000
50762,chr8,23264500,23562500,298000
50765,chr8,23294500,23548500,254000
50773,chr8,23349500,23464500,115000
50777,chr8,23404500,23598500,194000
50778,chr8,23418500,23649500,231000
50780,chr8,23440500,23649500,209000
50792,chr8,23730500,23780500,50000
50796,chr8,23794500,23992500,198000
50805,chr8,23851500,23902500,51000
50812,chr8,23781500,24019500,238000
50861,chr8,24730500,25035500,305000
50862,chr8,24768500,25035500,267000
50872,chr8,25227500,25312500,85000
50878,chr8,25438500,25641500,203000
50879,chr8,25473500,25641500,168000
50880,chr8,25505500,25704500,199000
50889,chr8,31303500,31346500,43000
50898,chr8,31864500,31948500,84000
50916,chr8,29378500,29420500,42000
50931,chr8,25836500,26064500,228000
50932,chr8,25852500,26028500,176000
50933,chr8,25955500,26026500,71000
50937,chr8,26243500,26504500,261000
50938,chr8,26244500,26608500,364000
50941,chr8,26275500,26609500,334000
50947,chr8,26311500,26499500,188000
50954,chr8,26466500,26609500,143000
50997,chr8,27468500,27512500,44000
51001,chr8,27575500,27666500,91000
51034,chr8,41510500,41730500,220000
51038,chr8,41586500,41691500,105000
51039,chr8,41694500,41826500,132000
51050,chr8,33792500,34036500,244000
51052,chr8,33934500,34088500,154000
51054,chr8,33935500,34006500,71000
51057,chr8,34128500,34188500,60000
51064,chr8,34258500,34471500,213000
51067,chr8,34420500,34545500,125000
51089,chr8,35089500,35273500,184000
51090,chr8,35095500,35200500,105000
51091,chr8,35310500,35627500,317000
51094,chr8,35341500,35673500,332000
51127,chr8,45521500,45689500,168000
51144,chr8,46249500,46339500,90000
51145,chr8,46271500,46339500,68000
51151,chr8,46638500,47000500,362000
51171,chr8,47140500,47191500,51000
51174,chr8,47157500,47404500,247000
51188,chr8,47470500,47741500,271000
51194,chr8,47865500,47986500,121000
51196,chr8,47988500,48144500,156000
51202,chr8,48371500,48469500,98000
51212,chr8,49684500,49737500,53000
51215,chr8,54467500,54530500,63000
51228,chr8,57860500,57941500,81000
51239,chr8,58070500,58105500,35000
51255,chr8,61343500,61435500,92000
51260,chr8,61512500,61952500,440000
51279,chr8,65072500,65186500,114000
51285,chr8,65397500,65538500,141000
51297,chr8,62003500,62043500,40000
51301,chr8,62168500,62212500,44000
51315,chr8,63885500,63919500,34000
51325,chr8,68438500,68576500,138000
51334,chr8,68570500,68730500,160000
51344,chr8,69662500,69722500,60000
51378,chr8,70111500,70196500,85000
51380,chr8,70169500,70226500,57000
51394,chr8,70336500,70665500,329000
51408,chr8,70371500,70575500,204000
51414,chr8,70506500,70668500,162000
51418,chr8,70754500,70976500,222000
51419,chr8,70755500,70963500,208000
51423,chr8,70806500,70991500,185000
51424,chr8,70806500,71047500,241000
51429,chr8,70867500,70997500,130000
51430,chr8,70868500,70984500,116000
51436,chr8,70979500,71061500,82000
51440,chr8,71048500,71151500,103000
51442,chr8,71050500,71083500,33000
51445,chr8,71062500,71293500,231000
51447,chr8,71065500,71169500,104000
51448,chr8,71082500,71293500,211000
51449,chr8,71083500,71151500,68000
51452,chr8,71113500,71150500,37000
51453,chr8,71125500,71293500,168000
51454,chr8,71125500,71210500,85000
51458,chr8,71151500,71348500,197000
51463,chr8,71173500,71394500,221000
51464,chr8,71221500,71273500,52000
51468,chr8,71274500,71345500,71000
51469,chr8,71352500,71393500,41000
51511,chr8,71835500,71917500,82000
51516,chr8,71920500,71995500,75000
51526,chr8,71948500,72085500,137000
51530,chr8,72014500,72184500,170000
51533,chr8,72045500,72083500,38000
51539,chr8,72140500,72178500,38000
51545,chr8,72161500,72662500,501000
51547,chr8,72162500,72675500,513000
51551,chr8,72186500,72719500,533000
51596,chr8,72636500,72704500,68000
51602,chr8,72662500,72707500,45000
51641,chr8,73025500,73072500,47000
51642,chr8,73024500,73088500,64000
51646,chr8,73073500,73174500,101000
51652,chr8,73159500,73354500,195000
51653,chr8,73175500,73228500,53000
51654,chr8,73175500,73246500,71000
51657,chr8,73207500,73292500,85000
51661,chr8,73229500,73302500,73000
51662,chr8,73229500,73325500,96000
51668,chr8,73325500,73449500,124000
51670,chr8,73381500,73450500,69000
51675,chr8,73719500,73949500,230000
51676,chr8,73734500,73909500,175000
51699,chr8,78358500,78716500,358000
51722,chr8,79163500,79468500,305000
51726,chr8,79266500,79354500,88000
51729,chr8,79757500,79936500,179000
51733,chr8,74081500,74168500,87000
51744,chr8,74310500,74361500,51000
51795,chr8,75743500,75818500,75000
51807,chr8,79976500,80215500,239000
51808,chr8,79977500,80313500,336000
51813,chr8,80158500,80312500,154000
51847,chr8,81033500,81167500,134000
51859,chr8,81644500,81741500,97000
51873,chr8,84168500,84321500,153000
51879,chr8,84294500,84334500,40000
51882,chr8,84334500,84442500,108000
51883,chr8,84334500,84626500,292000
51885,chr8,84425500,84625500,200000
51890,chr8,84466500,84602500,136000
51892,chr8,84466500,84724500,258000
51895,chr8,84602500,84724500,122000
51903,chr8,84733500,84997500,264000
51906,chr8,84737500,84959500,222000
51911,chr8,84751500,84920500,169000
51913,chr8,84765500,84957500,192000
51916,chr8,84781500,84921500,140000
51919,chr8,84793500,84920500,127000
51920,chr8,84795500,84829500,34000
51925,chr8,84913500,84957500,44000
51932,chr8,84983500,85327500,344000
51948,chr8,85142500,85228500,86000
51949,chr8,85320500,85540500,220000
51967,chr8,85640500,85716500,76000
51971,chr8,85700500,85829500,129000
51972,chr8,85704500,85763500,59000
51974,chr8,85752500,85798500,46000
51992,chr8,82846500,82899500,53000
52004,chr8,83590500,83763500,173000
52010,chr8,83709500,83763500,54000
52030,chr8,88174500,88263500,89000
52033,chr8,88297500,88474500,177000
52037,chr8,88321500,88441500,120000
52044,chr8,88367500,88557500,190000
52046,chr8,88387500,88701500,314000
52048,chr8,88442500,88556500,114000
52049,chr8,88442500,88687500,245000
52052,chr8,88590500,88686500,96000
52062,chr8,89088500,89374500,286000
52068,chr8,89181500,89373500,192000
52069,chr8,89247500,89373500,126000
52073,chr8,89673500,89753500,80000
52075,chr8,89672500,89883500,211000
52078,chr8,89718500,89769500,51000
52084,chr8,89772500,89997500,225000
52095,chr8,86027500,86148500,121000
52100,chr8,86148500,86281500,133000
52103,chr8,86161500,86218500,57000
52105,chr8,86330500,86426500,96000
52121,chr8,86424500,86803500,379000
52137,chr8,86633500,86692500,59000
52166,chr8,87485500,87629500,144000
52174,chr8,87691500,87892500,201000
52175,chr8,87771500,87866500,95000
52194,chr8,92929500,93033500,104000
52201,chr8,95751500,96029500,278000
52202,chr8,96058500,96215500,157000
52203,chr8,96073500,96233500,160000
52204,chr8,96077500,96215500,138000
52205,chr8,96161500,96215500,54000
52210,chr8,96358500,96616500,258000
52213,chr8,96442500,96533500,91000
52214,chr8,96442500,96578500,136000
52220,chr8,96499500,96557500,58000
52223,chr8,96533500,96578500,45000
52224,chr8,96534500,96614500,80000
52249,chr8,94143500,94220500,77000
52252,chr8,94388500,94536500,148000
52269,chr8,95112500,95422500,310000
52270,chr8,95114500,95393500,279000
52273,chr8,95218500,95333500,115000
52274,chr8,95255500,95310500,55000
52275,chr8,95328500,95422500,94000
52281,chr8,95585500,95638500,53000
52283,chr8,95753500,95945500,192000
52284,chr8,95825500,95945500,120000
52367,chr8,91579500,91635500,56000
52373,chr8,91809500,91859500,50000
52383,chr8,104703500,104779500,76000
52385,chr8,104872500,104961500,89000
52386,chr8,104897500,104976500,79000
52387,chr8,104897500,104944500,47000
52388,chr8,104946500,105066500,120000
52394,chr8,105122500,105319500,197000
52396,chr8,105169500,105260500,91000
52447,chr8,105882500,105943500,61000
52452,chr8,107784500,108020500,236000
52453,chr8,107812500,108112500,300000
52455,chr8,107824500,108163500,339000
52456,chr8,107831500,108085500,254000
52457,chr8,107831500,108111500,280000
52458,chr8,107836500,108129500,293000
52461,chr8,107898500,108092500,194000
52463,chr8,107991500,108050500,59000
52465,chr8,108130500,108162500,32000
52489,chr8,109288500,109598500,310000
52490,chr8,109301500,109451500,150000
52503,chr8,111871500,112025500,154000
52504,chr8,112143500,112389500,246000
52516,chr8,112788500,113058500,270000
52517,chr8,112788500,113137500,349000
52520,chr8,112819500,113041500,222000
52530,chr8,105995500,106074500,79000
52531,chr8,106020500,106101500,81000
52538,chr8,106086500,106124500,38000
52539,chr8,106086500,106145500,59000
52540,chr8,106243500,106280500,37000
52542,chr8,106293500,106332500,39000
52543,chr8,106293500,106363500,70000
52548,chr8,106323500,106514500,191000
52561,chr8,106441500,106734500,293000
52564,chr8,106463500,106813500,350000
52570,chr8,106504500,106756500,252000
52571,chr8,106553500,106786500,233000
52573,chr8,106562500,106748500,186000
52577,chr8,106619500,106657500,38000
52579,chr8,106692500,106863500,171000
52581,chr8,106786500,106863500,77000
52584,chr8,106868500,106954500,86000
52585,chr8,106985500,107038500,53000
52586,chr8,107026500,107096500,70000
52587,chr8,107026500,107129500,103000
52594,chr8,107180500,107234500,54000
52605,chr8,107332500,107370500,38000
52615,chr8,107443500,107777500,334000
52623,chr8,107783500,107822500,39000
52634,chr8,110292500,110419500,127000
52637,chr8,110432500,110505500,73000
52640,chr8,110580500,110672500,92000
52641,chr8,110595500,110685500,90000
52647,chr8,110846500,111100500,254000
52648,chr8,110846500,111055500,209000
52652,chr8,110872500,111144500,272000
52656,chr8,110929500,111277500,348000
52658,chr8,111477500,111724500,247000
52676,chr8,111757500,111819500,62000
52684,chr8,114582500,114652500,70000
52701,chr8,115268500,115527500,259000
52705,chr8,118657500,119001500,344000
52708,chr8,118685500,119013500,328000
52714,chr8,119578500,119706500,128000
52719,chr8,116230500,116294500,64000
52725,chr8,117206500,117553500,347000
52726,chr8,117398500,117498500,100000
52727,chr8,117603500,117708500,105000
52731,chr8,117885500,117983500,98000
52732,chr8,120038500,120084500,46000
52733,chr8,120071500,120121500,50000
52735,chr8,120138500,120506500,368000
52736,chr8,120171500,120302500,131000
52737,chr8,120243500,120284500,41000
52742,chr8,120383500,120506500,123000
52745,chr8,120510500,120653500,143000
52746,chr8,120509500,120804500,295000
52747,chr8,120638500,120840500,202000
52752,chr8,120905500,121090500,185000
52758,chr8,121051500,121326500,275000
52760,chr8,121062500,121215500,153000
52762,chr8,121091500,121160500,69000
52767,chr8,121155500,121260500,105000
52772,chr8,121425500,121819500,394000
52779,chr8,121697500,121800500,103000
52815,chr8,123951500,124100500,149000
52821,chr8,124048500,124170500,122000
52824,chr8,124100500,124244500,144000
52825,chr8,124101500,124138500,37000
52829,chr8,124139500,124243500,104000
52840,chr8,124356500,124547500,191000
52845,chr8,124371500,124583500,212000
52847,chr8,124381500,124448500,67000
52853,chr8,124517500,124693500,176000
52858,chr8,124607500,125078500,471000
52862,chr8,124677500,124709500,32000
52863,chr8,124682500,125058500,376000
52880,chr8,124778500,124960500,182000
52887,chr8,124815500,124943500,128000
52891,chr8,125161500,125247500,86000
52892,chr8,125161500,125389500,228000
52893,chr8,125390500,125448500,58000
52894,chr8,125390500,125520500,130000
52895,chr8,125448500,125589500,141000
52898,chr8,125520500,125624500,104000
52901,chr8,125707500,125771500,64000
52935,chr8,121983500,122240500,257000
52936,chr8,122038500,122240500,202000
52937,chr8,122273500,122401500,128000
52940,chr8,122305500,122379500,74000
52944,chr8,122316500,122379500,63000
52947,chr8,122445500,122477500,32000
52949,chr8,122445500,122534500,89000
52950,chr8,122478500,122636500,158000
52956,chr8,122577500,122676500,99000
52957,chr8,122576500,122692500,116000
52981,chr8,122851500,122996500,145000
52982,chr8,122851500,123095500,244000
52992,chr8,123000500,123115500,115000
52993,chr8,123001500,123163500,162000
52998,chr8,123170500,123294500,124000
53010,chr8,123227500,123540500,313000
53013,chr8,123250500,123294500,44000
53023,chr8,123344500,123597500,253000
53025,chr8,123345500,123540500,195000
53035,chr8,123634500,123792500,158000
53037,chr8,123834500,123961500,127000
53038,chr8,123859500,123927500,68000
53039,chr8,123872500,123928500,56000
53056,chr8,125807500,126543500,736000
53057,chr8,125816500,126575500,759000
53080,chr8,125888500,126475500,587000
53081,chr8,125892500,126597500,705000
53085,chr8,125898500,126275500,377000
53091,chr8,125910500,126064500,154000
53098,chr8,125920500,126526500,606000
53101,chr8,125922500,126542500,620000
53107,chr8,125944500,126603500,659000
53108,chr8,125946500,126506500,560000
53109,chr8,125950500,126296500,346000
53115,chr8,125991500,126589500,598000
53116,chr8,125995500,126605500,610000
53117,chr8,125997500,126575500,578000
53120,chr8,126018500,126597500,579000
53122,chr8,126031500,126448500,417000
53126,chr8,126064500,126445500,381000
53141,chr8,126298500,126486500,188000
53151,chr8,126393500,126427500,34000
53154,chr8,126678500,127024500,346000
53162,chr8,126984500,127163500,179000
53163,chr8,126985500,127186500,201000
53166,chr8,127023500,127209500,186000
53174,chr8,127176500,127678500,502000
53176,chr8,127186500,127602500,416000
53187,chr8,127223500,127555500,332000
53190,chr8,127224500,127514500,290000
53191,chr8,127225500,127414500,189000
53197,chr8,127288500,127611500,323000
53200,chr8,127306500,127647500,341000
53207,chr8,127347500,127513500,166000
53208,chr8,127356500,127603500,247000
53209,chr8,127615500,127703500,88000
53222,chr8,127774500,127896500,122000
53223,chr8,127867500,127904500,37000
53262,chr9,9059500,9350500,291000
53271,chr9,13564500,13626500,62000
53311,chr9,14435500,14610500,175000
53312,chr9,14695500,14955500,260000
53332,chr9,15345500,15520500,175000
53334,chr9,15386500,15520500,134000
53335,chr9,15405500,15521500,116000
53336,chr9,15405500,15592500,187000
53342,chr9,15682500,15722500,40000
53364,chr9,24688500,24790500,102000
53366,chr9,24936500,25016500,80000
53376,chr9,20456500,20492500,36000
53379,chr9,20657500,20724500,67000
53380,chr9,20669500,20741500,72000
53400,chr9,20862500,21060500,198000
53402,chr9,20863500,20941500,78000
53404,chr9,20914500,21073500,159000
53406,chr9,20944500,21003500,59000
53407,chr9,20943500,21044500,101000
53410,chr9,21062500,21322500,260000
53411,chr9,21064500,21130500,66000
53412,chr9,21075500,21278500,203000
53413,chr9,21077500,21132500,55000
53416,chr9,21134500,21175500,41000
53418,chr9,21133500,21380500,247000
53419,chr9,21134500,21201500,67000
53420,chr9,21135500,21421500,286000
53422,chr9,21149500,21421500,272000
53423,chr9,21150500,21200500,50000
53427,chr9,21153500,21268500,115000
53428,chr9,21168500,21450500,282000
53432,chr9,21193500,21268500,75000
53434,chr9,21202500,21422500,220000
53437,chr9,21224500,21380500,156000
53438,chr9,21278500,21457500,179000
53439,chr9,21279500,21421500,142000
53442,chr9,21421500,21457500,36000
53444,chr9,21458500,21527500,69000
53445,chr9,21458500,21635500,177000
53450,chr9,21505500,21812500,307000
53453,chr9,21527500,21634500,107000
